GAME_ID,GAME_DATE,TEAM_ID_HOME,TEAM_ID_AWAY,TEAM_NAME_HOME,TEAM_NAME_AWAY,HOME_WIN,PTS_HOME,PTS_AWAY,FG_PCT_HOME,FG_PCT_AWAY,FG3_PCT_HOME,FG3_PCT_AWAY,FT_PCT_HOME,FT_PCT_AWAY,OREB_HOME,OREB_AWAY,DREB_HOME,DREB_AWAY,REB_HOME,REB_AWAY,AST_HOME,AST_AWAY,STL_HOME,STL_AWAY,BLK_HOME,BLK_AWAY,TOV_HOME,TOV_AWAY,PF_HOME,PF_AWAY,PLUS_MINUS_HOME,PLUS_MINUS_AWAY,MIN_HOME,MIN_AWAY
22200053,2022-10-25,1610612740,1610612742,New Orleans Pelicans,Dallas Mavericks,1,113,111,0.579,0.5,0.444,0.308,0.722,0.708,4,11,22,26,26,37,25,18,7,8,3,5,14,11,21,16,2.0,-2.0,239,240
22200054,2022-10-25,1610612760,1610612746,Oklahoma City Thunder,LA Clippers,1,108,94,0.382,0.422,0.133,0.323,0.8,0.778,21,7,39,40,60,47,19,21,12,5,8,14,5,18,13,18,14.0,-14.0,239,241
22200055,2022-10-25,1610612756,1610612744,Phoenix Suns,Golden State Warriors,1,134,105,0.511,0.451,0.414,0.286,0.824,0.765,14,10,34,30,48,40,31,28,8,7,4,7,13,13,19,28,29.0,-29.0,238,240
22200063,2022-10-26,1610612762,1610612745,Utah Jazz,Houston Rockets,1,109,101,0.422,0.383,0.289,0.275,0.667,0.75,11,14,42,35,53,49,28,19,11,7,5,2,15,19,28,30,8.0,-8.0,240,239
22200065,2022-10-26,1610612757,1610612748,Portland Trail Blazers,Miami Heat,0,98,119,0.436,0.506,0.324,0.395,0.692,0.842,11,15,27,31,38,46,20,34,9,13,4,2,19,16,17,22,-21.0,21.0,240,239
22200056,2022-10-26,1610612739,1610612753,Cleveland Cavaliers,Orlando Magic,1,103,92,0.414,0.432,0.303,0.25,0.7,0.762,12,10,31,33,43,43,25,19,6,6,3,6,12,16,22,29,11.0,-11.0,239,240
22200061,2022-10-26,1610612741,1610612754,Chicago Bulls,Indiana Pacers,1,124,109,0.494,0.43,0.533,0.4,0.917,0.792,9,6,35,32,44,38,34,31,10,5,5,12,17,16,25,18,15.0,-15.0,241,241
22200058,2022-10-26,1610612752,1610612766,New York Knicks,Charlotte Hornets,1,134,131,0.536,0.495,0.367,0.419,0.864,0.667,12,9,34,33,46,42,26,31,5,9,11,5,16,15,24,24,3.0,-3.0,266,265
22200060,2022-10-26,1610612749,1610612751,Milwaukee Bucks,Brooklyn Nets,1,110,99,0.443,0.395,0.278,0.259,0.759,0.8,14,7,40,30,54,37,21,23,8,7,12,6,18,14,22,24,11.0,-11.0,241,240
22200064,2022-10-26,1610612743,1610612747,Denver Nuggets,Los Angeles Lakers,1,110,99,0.457,0.444,0.265,0.267,0.81,0.688,9,7,45,40,54,47,34,25,12,8,5,4,11,14,17,16,11.0,-11.0,242,240
